,Term,Makanan,Olahraga,Perjalanan,Label
0,wuaini,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
1,nih,0.005030181086519115,0.0034482758620689655,0.0029069767441860465,Makanan
2,menu,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
3,favorit,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
4,mimin,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
5,terangboelan,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
6,terang,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
7,redvelvet,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
8,pakai,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
9,toping,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
10,cream,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
11,chese,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
12,plus,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
13,oreo,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
14,gurih,0.007042253521126761,0.0011494252873563218,0.0009689922480620155,Makanan
15,manis,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
16,asem,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
17,kecut,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
18,dikit,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
19,ena,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
20,pol,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
21,pokok,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
22,oiya,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
23,lupa,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
24,promo,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
25,buy,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
26,get,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
27,fre,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
28,beli,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
29,tipker,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
30,dapet,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
31,meises,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
32,gratis,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
33,pusat,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
34,bangjo,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
35,novotel,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
36,slamet,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
37,riyadi,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
38,timur,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
39,kiri,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
40,jalan,0.0030181086519114686,0.0011494252873563218,0.022286821705426358,Perjalanan
41,gendut,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
42,soba,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
43,limolasan,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
44,solofodgram,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
45,makan,0.029175050301810865,0.0011494252873563218,0.0009689922480620155,Makanan
46,sarap,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
47,pagi,0.0030181086519114686,0.0034482758620689655,0.0009689922480620155,Olahraga
48,alhamdulilah,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
49,ya,0.007042253521126761,0.0011494252873563218,0.0009689922480620155,Makanan
50,ga,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
51,bikin,0.005030181086519115,0.0011494252873563218,0.0029069767441860465,Makanan
52,apa,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
53,apel,0.005030181086519115,0.0011494252873563218,0.0009689922480620155,Makanan
54,minum,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
55,wedang,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
56,ultimate,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
57,reda,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
58,nyeri,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
59,bulan,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
60,miya,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
61,cahaya,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
62,sarapanbuah,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
63,dietkenyang,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
64,cleaneating,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
65,dietsehat,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
66,dietenak,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
67,realfod,0.0030181086519114686,0.0011494252873563218,0.0009689922480620155,Makanan
